row.names.t.stat.desc.L.L.Classification....1....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,94248,0,0,2002,2019,17,189364428,2008.5,2009.21428571429,0.01652603933522,0.0323908578828027,25.7400690283435,5.07346716046763,0.00252510008342091
R0000100,94248,0,0,1,9022,9021,426304256,4530,4523.21806298277,8.48360197114616,16.6277678642596,6783170.15865088,2604.4519881639,0.57579624769327
Year,94248,0,0,1,14,13,706860,7.5,7.5,0.0131308522667164,0.0257363280471478,16.2501724192813,4.03115026007233,0.537486701342978
No_HealthI_03_21,94248,70364,0,0,1,1,23884,0,0.2534165181224,0.00141684675797691,0.00277700428084627,0.189198593919855,0.434969647124779,1.71642184316765
General_H_02_19,94248,0,0,1,5,4,207676,2,2.20350564468212,0.00309943813548881,0.0060748651341523,0.905394991193322,0.95152245963683,0.431822111249504
Weeks_Worked_02_19,94248,12968,0,0,53,53,3608536,51,38.2876665817842,0.0635509331657019,0.12455913983593,380.641386820107,19.5100329784475,0.509564429495152
NOArrests_02_19,94248,92145,0,0,60,60,3056,0,0.0324250912486207,0.0012635202159244,0.00247648592115073,0.150465361456006,0.387898648432817,11.9629161706466
MonthsIcar_02_19,94248,93210,0,0,12,12,6821,0,0.0723728885493591,0.00270398434908585,0.00529978000124352,0.68909720762682,0.830118791274369,11.4700243131545
NA_B18,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
NA_A18,94248,73654,0,0,68,68,53886,0,0.57174688057041,0.00728588735930973,0.014280260213502,5.00307540392355,2.23675555301055,3.91214299373007
B18_NOARREST,94248,0,0,1,1,0,94248,1,1,0,0,0,0,0
B18_ARREST,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
Classification,94248,0,0,1,1,0,94248,1,1,0,0,0,0,0
Hispanic,94248,74046,0,0,1,1,20202,0,0.214349376114082,0.0013367250116469,0.00261996652690807,0.168405507907343,0.410372401493257,1.91450243025128
White,94248,38864,0,0,1,1,55384,1,0.587641117052882,0.00160346689355482,0.00314277772280409,0.242321605707802,0.492261724804805,0.837691084779057
Black,94248,69006,0,0,1,1,25242,0,0.267825311942959,0.00144244544848459,0.00282717743664006,0.196096994874488,0.44282840341885,1.65342252457887
Other_R,94248,80612,0,0,1,1,13636,0,0.144682115270351,0.00114587550017053,0.00224590355405415,0.12375051382191,0.35178191230066,2.43141256017253
Male,94248,50022,0,0,1,1,44226,0,0.469251336898396,0.0016255990854372,0.00318615657888421,0.249057162289851,0.499056271666684,1.06351592936376
Sample,94248,0,0,1,2,1,118188,1,1.25401069518717,0.00141794222176972,0.0027791513780006,0.189491272477843,0.435305952725026,0.347130972961961
MSA_97,94248,16338,0,0,1,1,77910,1,0.826648841354724,0.00123307683087625,0.00241681721659521,0.143302054920087,0.378552578805227,0.457936381045245
Urban_97,94248,23646,0,0,1,1,70602,1,0.749108734402852,0.00141215196304212,0.00276780253368611,0.187946832617376,0.433528352726066,0.578725534513558
Northeast,94248,77560,0,0,1,1,16688,0,0.177064765300059,0.0012434122316585,0.00243707449004767,0.145714380263272,0.381725530012432,2.15585257386216
Northcentral,94248,73220,0,0,1,1,21028,0,0.22311348781937,0.0013561506485262,0.00265804056453302,0.173335698517027,0.416336040377274,1.8660281117309
South,94248,58380,0,0,1,1,35868,0,0.380570409982175,0.00158153830637105,0.00309979792972527,0.235739074291589,0.485529684253794,1.2757946270088
West,94248,73584,0,0,1,1,20664,0,0.219251336898396,0.0013476992362026,0.00264147588802887,0.171182004459893,0.413741470558479,1.88706475596185
PIB16,94248,88830,0,0,1,1,5418,0,0.0574866310160428,0.000758216831376125,0.00148609676712513,0.0541824931632315,0.232771332348362,4.04913852550174
BMEA97,94248,0,0,1,20,19,1177050,12,12.4888591800357,0.00959271879294695,0.0188016248073332,8.67272488396487,2.94494904607276,0.235806089541027
BFEA97,94248,0,0,1,20,19,1175300,12,12.4702911467617,0.0104711889951703,0.0205234168772487,10.3338972615673,3.21463796741831,0.25778371407576
PHEALTH97,94248,0,0,1,5,4,216622,2,2.29842543077837,0.00354812259330167,0.00695428180577219,1.18650446522359,1.08926785742699,0.473919163458832
BBPHH,94248,45836,0,0,1,1,48412,1,0.513666072489602,0.00162807331194897,0.0031910060360159,0.249815889085418,0.499815855176102,0.973036534715303
CC1Y,94248,67550,0,0,1,1,26698,0,0.283273915626857,0.00146772986277483,0.00287673461445577,0.203031958583235,0.450590677426015,1.59065361323122
HT97,94248,89712,0,0,1,1,4536,0,0.0481283422459893,0.000697197597449806,0.00136649973034374,0.0458124910031321,0.214038526913105,4.44724494808341
HHNW97,94248,42,0,-935251,600000,1535251,8992663330,39650,95414.8982471777,462.039108299944,905.591641752025,20120076008.3936,141845.253739396,1.48661536453079
GH97,94248,0,0,1,5,4,180726,2,1.91755793226381,0.0029338641145314,0.00575034184861915,0.811245186941652,0.900691504868149,0.469707584690711
WW_97,94248,65240,0,0,52,52,798672,0,8.47415329768271,0.0515747930631178,0.101086035108374,250.695842174638,15.83337747212,1.86843179677311
NHIN_97,94248,81676,0,0,1,1,12572,0,0.13339275103981,0.00110749941614471,0.00217068684552739,0.115600351564798,0.340000517006663,2.54886801836175
Wave_Outcome,94248,0,0,1,19,18,807840,7.5,8.57142857142857,0.017871631567236,0.035028204065475,30.1023602115414,5.48656178417244,0.640098874820117
Ex_Medicare,94248,0,0,265.4,804.5,539.1,45852998.4,482.8,486.514285714286,0.509697997654608,0.999002548057276,24484.8810165386,156.476455150731,0.32162766797484
Ex_Medicaid,94248,0,0,248.1,615.1,367,36720367.2,359.55,389.614285714286,0.36673759736838,0.718801713809525,12676.0228638123,112.587845098005,0.288972579359085
Ex_Medicaid_Feds,94248,0,0,145.3,387.7,242.4,22407462,225.25,237.75,0.247084613983761,0.484283163935035,5753.91640794932,75.854574074009,0.319051836273434
Ex_Medicaid_State,94248,0,0,102.8,227.4,124.6,14312232,136.5,151.857142857143,0.12670388852875,0.248338247494472,1513.0456457121,38.8978874196543,0.256147894579097
PC_Medicare,94248,0,0,3.6,18.8,15.2,689356.8,6.9,7.31428571428571,0.0119808857370002,0.0234824061195487,13.5285108885618,3.67811240836408,0.502866930831027
PC_Medicaid,94248,0,0,-0.9,10.7,11.6,550004.4,6.15,5.83571428571429,0.00998279415651773,0.0195661682898164,9.39239557454652,3.06470154738541,0.525163055855517
PC_Medicaid_Feds,94248,0,0,-7.2,21.8,29,605206.8,6.95,6.42142857142857,0.0215528832519172,0.042243417446652,43.7807196288173,6.61670005582974,1.03040935240953
PC_Medicaid_State,94248,0,0,-9.9,21.8,31.7,505573.2,4.9,5.36428571428572,0.022472641000627,0.0440461326599443,47.5970866522466,6.8990641867029,1.28611050085008
