row.names.t.stat.desc.C.C.Classification....1....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,7356,0,0,1,9022,9021,32818838,4434.5,4461.50598151169,30.4024124669483,59.5974410156529,6799199.9661097,2607.52755807291,0.584450086781999
NA_B18,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
NA_A18,7356,5838,0,0,68,68,3964,0,0.538879825992387,0.0252900799419874,0.049575804198509,4.70481038338085,2.16905748733888,4.02512282463794
B18_NOARREST,7356,0,0,1,1,0,7356,1,1,0,0,0,0,0
B18_ARREST,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
Classification,,,,,,,,,,,,,,
Hispanic,7336,5782,20,0,1,1,1554,0,0.211832061068702,0.00477095333973017,0.00935243998042785,0.166982000967858,0.408634312029543,1.92904846399532
White,7289,2942,67,0,1,1,4347,1,0.596378103992317,0.00574703738251472,0.0112658572751073,0.240744289509522,0.490656997819783,0.822728055465469
Black,7289,5401,67,0,1,1,1888,0,0.259020441761559,0.00513175544049972,0.0100597265191492,0.191955187425107,0.438126907898963,1.69147618203154
Other_R,7289,6235,67,0,1,1,1054,0,0.144601454246124,0.00411970768968048,0.00807581989779818,0.123708845667479,0.351722682901571,2.43235923687813
Male,7356,3873,0,0,1,1,3483,0,0.473491027732463,0.00582193599536287,0.0114126629739582,0.249331169328053,0.499330721394201,1.05457272080842
Sample,7356,0,0,1,2,1,9163,1,1.24564980967917,0.00501941818306666,0.00983949808007582,0.185331175242656,0.430501074612661,0.345603612883415
MSA_97,7356,1256,0,0,1,1,6100,1,0.829255029907559,0.00438759646701766,0.00860094645212276,0.14161037628333,0.376311541522885,0.453794704826614
Urban_97,7043,1730,313,0,1,1,5313,1,0.754366037200057,0.00512964441184594,0.0100556466398423,0.185324232370931,0.430493010827042,0.570668600650264
Northeast,7356,6030,0,0,1,1,1326,0,0.18026101141925,0.00448226324273878,0.00878652046169569,0.147787069865136,0.384430838858092,2.13263442733041
Northcentral,7356,5699,0,0,1,1,1657,0,0.225258292550299,0.00487110536353169,0.00954876245099671,0.174540721855086,0.417780710247715,1.85467405225238
South,7356,4604,0,0,1,1,2752,0,0.374116367591082,0.00564233429054855,0.0110605921631099,0.234185147027783,0.483926799245281,1.29351945321522
West,7356,5735,0,0,1,1,1621,0,0.220364328439369,0.0048330930821893,0.00947424748618474,0.171827249979576,0.414520506102625,1.88106899623128
PIB16,6300,5922,1056,0,1,1,378,0,0.06,0.00299229045896683,0.00586590867255763,0.0564089538021908,0.237505692146927,3.95842820244878
BMEA97,6817,0,539,1,20,19,85387,12,12.5255977702802,0.0354832273690754,0.0695581995963693,8.58300809699033,2.929677131868,0.233895194911921
BFEA97,5906,0,1450,1,20,19,75015,12,12.7014900101592,0.0421429045919272,0.0826155090816243,10.4892001503659,3.23870346749527,0.254986105165994
PHEALTH97,6505,0,851,1,5,4,14876,2,2.28685626441199,0.0134614257598566,0.0263888204933149,1.17877094259029,1.0857121822059,0.474761881234831
BBPHH,7356,3530,0,0,1,1,3826,1,0.520119630233823,0.00582541374843738,0.0114194803666223,0.249629135924595,0.49962899828232,0.960604001924921
CC1Y,6410,4535,946,0,1,1,1875,0,0.292511700468019,0.00568245645543995,0.0111395137303242,0.206980895868695,0.454951531340092,1.55532763514133
HT97,6460,6125,896,0,1,1,335,0,0.0518575851393189,0.00275905456686378,0.0054086611188344,0.0491759883849401,0.221756597162159,4.27626154527626
HHNW97,5364,3,1992,-935251,600000,1535251,513875385,39500,95800.7802013423,1923.8500756513,3771.52804524947,19853232045.262,140901.497668627,1.47077609777809
GH97,7352,0,4,1,5,4,14069,2,1.9136289445049,0.0104856656332676,0.0205549114148722,0.808346399096805,0.899080863491602,0.469830301257393
GH98,6859,0,497,1,5,4,12904,2,1.8813238081353,0.0107692153494171,0.0211110000843769,0.795479378801711,0.89189650677739,0.474079211096258
GH99,6731,0,625,1,5,4,12947,2,1.92348833754271,0.0110223948695535,0.0216073829608018,0.817770652872882,0.90430672499594,0.470138917583044
GH00,6594,0,762,1,5,4,12859,2,1.95010615711253,0.0113966424414612,0.0223411101718708,0.856451528240561,0.925446664179282,0.474562197962376
GH01,6440,0,916,1,5,4,12908,2,2.00434782608696,0.0113881541522142,0.0223245684141214,0.835203954165175,0.913894936064959,0.455956258774275
GH02,6436,0,920,1,5,4,13297,2,2.06603480422623,0.0115311518186332,0.0226048940251854,0.855778587133466,0.925083016346893,0.447757711755178
GH03,6322,0,1034,1,5,4,13039,2,2.06248022777602,0.0117192436604417,0.0229736945605195,0.868267728212067,0.931808847463935,0.451790438965181
GH04,6159,0,1197,1,5,4,12906,2,2.09547004383829,0.011776393185774,0.023085844056105,0.854151285193746,0.924203054092414,0.441048086948333
GH05,5987,0,1369,1,5,4,12870,2,2.14965759144814,0.0121630658835635,0.0238439922940913,0.885717807895501,0.941125819375656,0.437802663605443
GH06,6171,0,1185,1,5,4,13103,2,2.1233187489872,0.0118838154713879,0.0232964203504999,0.871499907945015,0.933541594116199,0.439661541424946
GH07,6062,0,1294,1,5,4,13271,2,2.18921148135929,0.0120465842152357,0.0236155871490729,0.879718599386388,0.937933152941289,0.42843423804763
GH08,6126,0,1230,1,5,4,13549,2,2.21172053542279,0.0118988168156912,0.0233258618385834,0.867330361723534,0.9313057294592,0.421077489015209
GH09,6187,0,1169,1,5,4,13868,2,2.24147405850978,0.0120520967198538,0.0236262982608288,0.898680529677722,0.947987621057217,0.422930445015936
GH10,6095,0,1261,1,5,4,13895,2,2.27973748974569,0.0124703114744988,0.0244462167545529,0.947825333111847,0.973563214748712,0.427050578905606
GH11,6043,0,1313,1,5,4,13930,2,2.30514645043852,0.0124322660135024,0.0243716758762396,0.934013562626839,0.96644377106319,0.419254824733299
GH13,5821,0,1535,1,5,4,13376,2,2.29788696100326,0.0128378284675391,0.0251669152914069,0.959358077254354,0.979468262504893,0.426247365134643
GH15,5796,0,1560,1,5,4,13599,2,2.34627329192547,0.0129996426346676,0.0254841540696778,0.979470147214079,0.989681841408682,0.421810129627526
GH17,5517,0,1839,1,5,4,12805,2,2.32100779409099,0.0130120336301217,0.0255087145852833,0.934099926879053,0.966488451498026,0.416408964226053
GH19,5714,0,1642,1,5,4,13351,2,2.33654182709135,0.0126814931909284,0.0248605368958289,0.918927020217631,0.958606812106836,0.410267345096132
GH21,5508,0,1848,1,5,4,13359,2,2.42538126361656,0.0131914894733993,0.0258605280460598,0.958476793053642,0.97901828024488,0.403655414895486
WW_97,7254,4999,102,0,52,52,62043,0,8.55293631100083,0.18639456961672,0.365387618272215,252.025254716197,15.8753032952507,1.85612317431053
WW_98,7225,3582,131,0,52,52,102949,1,14.2489965397924,0.220152722107665,0.431563713737877,350.175672096472,18.7129813791515,1.31328415491525
WW_99,7114,2373,242,0,52,52,143430,13,20.1616530784369,0.238840609550169,0.468198662311613,405.816968783888,20.1448993242431,0.999169028743395
WW_00,7058,1516,298,0,53,53,189904,27,26.9062057240011,0.247350690327517,0.484881607674939,431.825125150813,20.7804024299534,0.772327493631578
WW_01,7024,1152,332,0,52,52,214144,34,30.4874715261959,0.238946963265326,0.468408168834955,401.039854406138,20.0259794868101,0.656859309228155
WW_02,7010,1035,346,0,52,52,229142,40,32.6878744650499,0.237604514185781,0.465776723817835,395.755895181842,19.8936144323208,0.608593087127496
WW_03,6972,967,384,0,52,52,239793,44,34.3937177280551,0.237576150718214,0.465721561319053,393.516603763662,19.8372529288625,0.576769661416426
WW_04,6956,932,400,0,52,52,251281,48,36.1243530764807,0.235504788270978,0.461661244940408,385.797186856771,19.6417205676278,0.543725185224584
WW_05,6916,802,440,0,53,53,265470,51,38.3849045691151,0.233842442111031,0.45840300077064,378.182701957631,19.4469201149599,0.506629372490535
WW_06,6875,722,481,0,52,52,271230,51,39.4516363636364,0.221748816828347,0.43469623509861,338.061197132806,18.3864405781219,0.46605013816535
WW_07,6823,726,533,0,52,52,274032,52,40.1629781620988,0.221759519536757,0.434717799267951,335.536612178796,18.3176584796965,0.456083172063734
WW_08,6763,785,593,0,52,52,272972,52,40.3625609936419,0.224328345911177,0.43975419229239,340.335847448032,18.4481936093492,0.457062018741953
WW_09,6719,935,637,0,52,52,259871,52,38.6770352731061,0.240606278030525,0.471664617728845,388.972189125133,19.7223778770495,0.509924758652931
WW_10,6656,1065,700,0,52,52,254611,52,38.2528545673077,0.248326127330016,0.486798801263061,410.448000865999,20.2595163038509,0.529621031763872
WW_11,6595,1060,761,0,53,53,258120,53,39.1387414708112,0.253199658399679,0.496353319438213,422.805891955446,20.5622443316737,0.525368051167627
WW_12,6466,1114,890,0,52,52,253822,52,39.2548716362512,0.25476527221635,0.499424258994045,419.677953835028,20.48604290328,0.521872624960044
WW_13,6422,1014,934,0,52,52,255567,52,39.7955465587045,0.249571541143819,0.489243454775766,400.000397544242,20.0000099386036,0.502569047747605
WW_14,6379,1020,977,0,52,52,252590,52,39.5971155353504,0.254720583356306,0.499337929463464,413.885949659117,20.3441871221024,0.513779522751856
WW_15,6265,931,1091,0,52,52,253966,52,40.5372705506784,0.246364555525752,0.482958975593223,380.257271284549,19.5001864423023,0.481043399750454
WW_16,6157,964,1199,0,53,53,250810,53,40.7357479291863,0.262187155281555,0.513978437323489,423.245136757763,20.5729224165592,0.505033624332183
WW_17,5994,928,1362,0,52,52,245652,52,40.982982982983,0.253085935577723,0.496139520243836,383.930629778786,19.5941478451804,0.478104481884988
WW_18,5927,897,1429,0,52,52,238269,52,40.2006073899106,0.258762094195637,0.50726799253428,396.859007393418,19.9213204229393,0.495547747070585
WW_19,5670,805,1686,0,52,52,212899,43,37.5483245149912,0.230890167961368,0.452633053044931,302.269228979166,17.3858916647714,0.463027096131281
WW_20,1579,318,5777,0,28,28,10801,5,6.84040531982267,0.167203934049013,0.327965242880633,44.144348631556,6.6441213588823,0.971305214857435
A97,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
A98,7356,7333,0,0,4,4,33,0,0.00448613376835237,0.00109483669804045,0.00214619368131306,0.00881739736038673,0.0939009976538414,20.9313860224745
A99,7356,7286,0,0,5,5,95,0,0.0129146275149538,0.00180245329484892,0.00353332499649527,0.0238984514461019,0.154591239875039,11.9702437949557
A00,7356,7211,0,0,6,6,208,0,0.0282762370853725,0.00273977066125353,0.00537073564665256,0.0552166611402097,0.234982257075316,8.31023789925972
A01,7356,7160,0,0,6,6,259,0,0.0352093529091898,0.00282533362730651,0.00553846358034896,0.0587193443367124,0.242320746814449,6.88228345006598
A02,7356,7124,0,0,25,25,332,0,0.0451332245785753,0.00476225748766484,0.00933538942118514,0.166827432962599,0.408445140701415,9.04976643072171
A03,7356,7144,0,0,60,60,397,0,0.0539695486677542,0.0101497346981272,0.0198963886715823,0.757793893838056,0.870513580501796,16.1297176276353
A04,7356,7125,0,0,30,30,357,0,0.048531810766721,0.0063063206887318,0.0123621957856495,0.292545770707856,0.540875004698734,11.144752197658
A05,7356,7127,0,0,12,12,305,0,0.0414627514953779,0.00351997726683249,0.00690016418152837,0.0911426051385329,0.301898335766418,7.28119396032056
A06,7356,7131,0,0,8,8,298,0,0.0405111473626971,0.00315318713902731,0.00618115041803979,0.0731376856676977,0.270439800450484,6.67568849702604
A07,7356,7172,0,0,10,10,250,0,0.0339858618814573,0.00313430228762322,0.00614413069735584,0.0722642467069525,0.268820101009862,7.90976265211418
A08,7356,7190,0,0,12,12,208,0,0.0282762370853725,0.00275323006859398,0.00539711994217353,0.0557605088628474,0.236136631768236,8.35106280426511
A09,7356,7182,0,0,7,7,247,0,0.0335780315388798,0.00303605892552527,0.00595154555352301,0.0678050613473687,0.260394050138187,7.75489325026925
A10,7356,7228,0,0,33,33,221,0,0.0300435019032083,0.00553639743423611,0.0108529255658513,0.225473879820447,0.47484089948155,15.8051115682637
A11,7356,7244,0,0,12,12,157,0,0.0213431212615552,0.00271786097081116,0.00532778637460943,0.0543370672959804,0.233103125882045,10.921698050881
A12,7356,7260,0,0,12,12,123,0,0.016721044045677,0.00231895323237921,0.00454581289017852,0.0395572143551845,0.198889955390373,11.8945895272486
A13,7356,7262,0,0,4,4,125,0,0.0169929309407287,0.00197424596422698,0.00387008786001181,0.0286710922681725,0.169325403493311,9.96446134477436
A14,7356,7283,0,0,12,12,104,0,0.0141381185426862,0.00234899194028626,0.00460469736602802,0.0405886656249573,0.201466289053423,14.2498655988171
A15,7356,7282,0,0,6,6,103,0,0.0140021750951604,0.00196806614908458,0.00385797365135032,0.0284918798049216,0.168795378505816,12.0549398474639
A16,7356,7296,0,0,3,3,72,0,0.0097879282218597,0.00136830332590163,0.00268226664070154,0.01377230036275,0.117355444538164,11.989814583649
A17,7356,7299,0,0,4,4,73,0,0.00992387166938554,0.00145333079251155,0.00284894484202863,0.0155371254069524,0.124648006028787,12.5604209910651
A18,7356,7312,0,0,2,2,47,0,0.00638934203371398,0.00098694255766683,0.00193469024638526,0.0071651530828573,0.0846472272603025,13.248191568655
A19,7356,7315,0,0,4,4,53,0,0.00720500271886895,0.00125060317061367,0.00245154060637997,0.0115048449838069,0.107260640422323,14.8869673763511
A20,7356,7343,0,0,2,2,14,0,0.00190320826536161,0.000543357760449951,0.00106513692339441,0.00217176819636777,0.046602233813067,24.4861451377801
A21,7356,7325,0,0,7,7,41,0,0.005573681348559,0.00130946845725046,0.00256693343752519,0.0126133894037674,0.112309346911855,20.149940387405
I97,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
I98,7356,7352,0,0,2,2,5,0,0.000679717237629146,0.000359609675315113,0.000704938018867744,0.000951271436276255,0.030842688538392,45.3757633776823
I99,7356,7347,0,0,6,6,27,0,0.00367047308319739,0.00145730183304826,0.00285672921948271,0.0156221478214485,0.124988590765111,34.0524471728948
I00,7356,7328,0,0,12,12,121,0,0.0164491571506253,0.00390023042143556,0.00764556933571175,0.111897981235183,0.334511556205736,20.3360909706562
I01,7356,7318,0,0,12,12,168,0,0.0228384991843393,0.00497698846678054,0.0097563236768464,0.18221116684392,0.426861999765638,18.6904575611669
I02,7356,7297,0,0,12,12,234,0,0.0318107667210441,0.00552000778607359,0.0108207971585844,0.224140894709351,0.473435206453165,14.8828605926046
I03,7356,7329,0,0,12,12,173,0,0.0235182164219685,0.00541585303598607,0.0106166240002343,0.215762249974031,0.464502152819587,19.7507389372305
I04,7356,7300,0,0,12,12,256,0,0.0348015225666123,0.00599902821710611,0.0117598144788313,0.264730225727117,0.514519412390939,14.7843937404209
I05,7356,7273,0,0,12,12,471,0,0.0640293637846656,0.00881581871015285,0.0172815310677798,0.571698459504748,0.75610743912803,11.8087607690569
I06,7356,7260,0,0,12,12,609,0,0.08278955954323,0.0103096440164283,0.020209856761513,0.781860116687719,0.884228543244177,10.680435409038
I07,7356,7247,0,0,12,12,707,0,0.0961120174007613,0.0109533064484061,0.0214716195859433,0.882535527355222,0.939433620515693,9.77436168672339
I08,7356,7254,0,0,12,12,771,0,0.104812398042414,0.0120486528851675,0.0236188125012278,1.0678707873704,1.03337833699493,9.85931393895549
I09,7356,7247,0,0,12,12,718,0,0.0976073953235454,0.0112273529119769,0.0220088291894893,0.927249203284527,0.962937798242715,9.86541844550614
I10,7356,7261,0,0,12,12,624,0,0.0848287112561175,0.0104983885336336,0.0205798501047518,0.810750086223818,0.900416618140635,10.6145266715425
I11,7356,7268,0,0,12,12,606,0,0.0823817292006525,0.0104622432698577,0.0205089950294114,0.8051769778524,0.897316542727482,10.8921790236029
I12,7356,7279,0,0,12,12,539,0,0.073273518216422,0.00980322172043808,0.0192171239332515,0.706934816272107,0.840794158086334,11.4747343726959
I13,7356,7285,0,0,12,12,525,0,0.0713703099510604,0.00975410146980218,0.0191208341653546,0.699868196774398,0.836581255332916,11.7216985032932
I14,7356,7286,0,0,12,12,602,0,0.0818379554105492,0.0107932509550125,0.0211578649509409,0.856931822004466,0.925706120755646,11.3114521997982
I15,7356,7280,0,0,12,12,618,0,0.0840130505709625,0.0108439463904721,0.0212572425325014,0.865000670937749,0.930054122585212,11.0703529542667
I16,7356,7282,0,0,12,12,613,0,0.0833333333333333,0.0107134830614792,0.0210014970201079,0.844312259234081,0.918864657734795,11.0263758928175
I17,7356,7297,0,0,12,12,501,0,0.0681076672104405,0.00992629494276275,0.0194583827187533,0.724796472974517,0.851349794722778,12.5000580638338
I18,7356,7308,0,0,12,12,397,0,0.0539695486677542,0.00846579706113531,0.0165953883281468,0.527202459439688,0.726087088054654,13.4536438784132
I19,7356,7320,0,0,12,12,244,0,0.0331702011963023,0.00662398901136787,0.0129849167339106,0.322760906989545,0.568120503933404,17.1274361759595
I20,7356,7324,0,0,8,8,158,0,0.021479064709081,0.00405268171610872,0.00794441756204647,0.120816629201355,0.347586865691664,16.1825885065056
I21,7356,7335,0,0,12,12,173,0,0.0235182164219685,0.00575022235150899,0.0112720836806456,0.243226559967233,0.49318004822502,20.9701296805968
NHIN_97,6428,5562,928,0,1,1,866,0,0.134723086496577,0.00425887035876352,0.00834880480152839,0.116590914438146,0.341454117617793,2.53448853123231
NHIN_02,6399,4752,957,0,1,1,1647,0,0.257383966244726,0.00546576288838021,0.0107147253995128,0.191167334728812,0.437226868717845,1.69873389977261
NHIN_03,6294,4420,1062,0,1,1,1874,0,0.297743883063235,0.00576421702094549,0.0112998311070047,0.209125689359526,0.457302623390164,1.53589258891019
NHIN_04,6144,4280,1212,0,1,1,1864,0,0.303385416666667,0.00586547750889902,0.0114983902074084,0.211377109447067,0.459757663826354,1.51542440265511
NHIN_05,5964,4153,1392,0,1,1,1811,0,0.303655264922871,0.00595484074450233,0.0116736428908744,0.211484205135784,0.459874118793159,1.51446120622993
NHIN_06,6162,4323,1194,0,1,1,1839,0,0.298442064264849,0.00582956546893467,0.0114279834517104,0.209408382375741,0.457611606469658,1.53333481189018
NHIN_07,6048,4269,1308,0,1,1,1779,0,0.294146825396825,0.00585961773307836,0.0114869389325103,0.207658805625773,0.45569595743848,1.54921256356825
NHIN_08,6119,4273,1237,0,1,1,1846,0,0.301683281581958,0.00586809458257607,0.0115035298520091,0.210704913729929,0.459026049075572,1.52154950936805
NHIN_09,6181,4273,1175,0,1,1,1908,0,0.308687914576929,0.00587628228753757,0.0115195577662392,0.213434216664599,0.461989411853344,1.49662293221463
NHIN_10,6079,4240,1277,0,1,1,1839,0,0.302516861325876,0.00589198051112171,0.0115503697166166,0.21103512537376,0.459385595522716,1.51854542424284
NHIN_11,6032,4261,1324,0,1,1,1771,0,0.293600795755968,0.00586420374016144,0.0114959352463922,0.207433757372937,0.455448962423823,1.55125247958244
NHIN_13,5810,4393,1546,0,1,1,1417,0,0.243889845094664,0.00563428363689128,0.0110452943991419,0.184439333706466,0.429464007463333,1.76089335452503
NHIN_15,5783,4689,1573,0,1,1,1094,0,0.189175168597614,0.00515058479456369,0.010097074342253,0.153414452707404,0.391681570548582,2.07047031305526
NHIN_17,5511,4582,1845,0,1,1,929,0,0.168571947015061,0.00504346706315913,0.00988718568045355,0.14018088225463,0.37440737473323,2.22105386668981
NHIN_19,5706,4701,1650,0,1,1,1005,0,0.176130389064143,0.00504334368572924,0.00988686956231717,0.145133910427789,0.380964447721555,2.16296829721312
NHIN_21,5496,4626,1860,0,1,1,870,0,0.158296943231441,0.00492415673616647,0.00965329614739161,0.133263268314585,0.365052418584763,2.30612424430099
